age,mean,upper,sd,gender
216.5,21.27532,30.32554,5.518426829,girl
217.5,21.30202,30.38304,5.537207317,girl
218.5,21.32805,30.44063,5.55645122,girl
219.5,21.35343,30.49835,5.576170732,girl
220.5,21.37812,30.55623,5.596408537,girl
221.5,21.40215,30.6143,5.617164634,girl
222.5,21.42548,30.6726,5.638487805,girl
223.5,21.44813,30.73114,5.660371951,girl
224.5,21.47008,30.78997,5.682859756,girl
225.5,21.49134,30.84911,5.705957317,girl
226.5,21.51188,30.90861,5.729713415,girl
227.5,21.53171,30.96849,5.754134146,girl
228.5,21.55082,31.0288,5.779256098,girl
229.5,21.56921,31.08956,5.805091463,girl
230.5,21.58686,31.15082,5.831682927,girl
231.5,21.60378,31.21261,5.859042683,girl
232.5,21.61996,31.27496,5.887195122,girl
233.5,21.63539,31.33793,5.916182927,girl
234.5,21.65006,31.40154,5.94602439,girl
235.5,21.66397,31.46583,5.976743902,girl
236.5,21.67712,31.53085,6.008371951,girl
237.5,21.68949,31.59664,6.040945122,girl
238.5,21.70108,31.66324,6.074487805,girl
239.5,21.71189,31.73069,6.10902439,girl
240,21.717,31.76474,6.126670732,girl
240.5,21.72191,31.79903,6.144585366,girl
